latitude,longitude,airline_sentiment
35.8884551937207,-119.273780961654,neutral
37.7709712276058,-119.941025385876,positive
35.6848625431337,-119.709298699672,neutral
37.0611594313483,-119.279134783103,negative
36.7905874093838,-120.867751937439,negative
36.2266530688566,-119.290923331521,negative
33.7781638562271,-119.565304999117,positive
36.4852392456091,-119.301841113315,neutral
36.2089682989336,-119.087949774393,positive
37.6944747471073,-119.006905969324,positive
34.2443698516394,-119.833613613462,neutral
39.7505876872789,-119.373542553111,positive
37.6129168436768,-118.949333043514,positive
37.4781381595334,-119.186405594643,positive
35.1836907585619,-119.406582804196,positive
39.3962656868958,-119.871595278592,negative
39.1690551848314,-119.719582984853,positive
35.8513036955112,-120.013404812733,negative
37.2096834112741,-119.406559330143,positive
35.499500985569,-119.818536588154,positive
35.7040470419597,-119.062047198165,negative
35.6617643533666,-118.894633032236,positive
36.8790530949135,-120.165871598566,positive
34.6609716336487,-120.385953819076,neutral
35.6011376106776,-119.464092875855,negative
37.8573486995116,-118.967687524015,negative
35.1397536592535,-119.964031422741,negative
38.7561969508448,-119.696871557478,neutral
36.2687679220696,-119.903866576286,negative
37.495973501199,-120.549658144907,neutral
34.4220880954538,-119.30927181644,negative
38.2295378505578,-119.369165784461,neutral
36.3162660294388,-119.216157396466,negative
30.5784365515224,-119.480761510053,negative
33.0521893333504,-119.610542997524,positive
38.4901678320561,-119.342619675858,neutral
38.1240049912029,-119.335127389874,positive
38.1866476929683,-119.632203599826,positive
37.6162782708138,-120.186798235538,neutral
34.7463568222741,-119.344415404144,negative
36.638189984442,-119.927537918548,positive
38.0635517663274,-120.042167562055,negative
36.2699548164594,-119.922513531238,neutral
32.7053689420421,-119.109627179173,neutral
38.1288323489141,-119.863655587487,neutral
39.4794637046711,-118.954990375125,positive
35.2874177703462,-119.369602857077,neutral
37.0657393012251,-119.390016292195,positive
38.0746220924808,-119.492740332136,neutral
35.48621296277,-119.621885585677,neutral
40.5136128433902,-119.906014063645,neutral
37.501110179467,-120.158124373623,positive
36.3640660194054,-119.805478703074,neutral
36.1926982527052,-118.664978495402,neutral
38.5991871292463,-119.725643081306,neutral
36.1636959339158,-119.988830538006,negative
35.6458172366,-119.447052876783,positive
33.0238679086729,-119.974442139589,positive
36.7976411748107,-119.068728560976,neutral
35.3308090361391,-119.444683626158,neutral
35.5865440050405,-119.018581179593,neutral
39.367046077602,-118.57311303192,negative
36.7729127359707,-118.82776783572,neutral
38.7468979001176,-119.43592341748,neutral
37.8408859233005,-119.18588131938,positive
37.0064947662944,-118.888435942982,neutral
40.5191787122769,-120.011231621543,negative
38.3864431239432,-119.75187661598,negative
36.7939421516746,-119.370188676451,positive
33.4055018536872,-119.903959515812,negative
38.8188234724872,-120.319593313651,neutral
37.9255050257646,-119.194532951798,neutral
37.7017562128984,-119.074021509311,neutral
35.1139660180154,-118.994593033197,negative
38.1124397759203,-118.851346956501,positive
39.1608576563722,-119.423423513358,positive
33.2444832258067,-119.787928455562,neutral
32.6178471445025,-119.818810620925,neutral
37.9170819859551,-119.978998016015,negative
34.8792840402628,-119.269967518028,neutral
35.6494736742645,-119.53175648439,negative
34.1176198334614,-119.953383188293,positive
36.8176984460097,-119.300947973537,negative
41.4088779976264,-119.292539732532,negative
33.5480074089598,-119.158439876834,negative
33.9531512461877,-120.026148552143,negative
35.7248036523673,-120.041772490436,neutral
35.8945045066514,-119.560597532037,neutral
36.1172733894555,-119.041008175726,neutral
37.1315879256593,-119.781948555369,negative
39.2730105833439,-119.120712872383,neutral
38.2024421070677,-118.76128465976,neutral
36.5571861484558,-119.260581603514,negative
36.6872708212747,-119.883250876269,negative
37.4489171682107,-120.412851583878,neutral
34.9992707001603,-119.780898869989,negative
35.5819785769468,-119.198760656407,negative
36.550455735919,-119.971485619802,negative
41.9952967630425,-119.110283748383,negative
38.8775497120169,-120.461667501038,negative
36.1878842782764,-119.536367738239,neutral
36.4421225330842,-119.568741446883,negative
37.48211832685,-120.591048451308,neutral
41.4262414884681,-119.468163938109,negative
39.2647445324438,-118.853835801129,negative
39.7006147681313,-119.96982685687,positive
39.1389209520221,-120.107550424497,negative
35.884544390482,-119.457115878635,negative
34.730404070172,-120.162274755895,neutral
38.0779942913604,-119.409819152921,positive
37.3911304118407,-118.935520636301,neutral
36.8353148476337,-119.489915191286,positive
35.1122876525327,-118.809077399384,neutral
36.2431295999388,-119.370814894194,positive
38.142109370437,-119.575373380347,positive
37.7244052891667,-119.308481865506,negative
41.148751556266,-120.052477903033,positive
36.9773324118223,-119.5523179784,positive
37.0590379752921,-119.63536724319,positive
40.9618481121227,-119.767311648793,positive
34.6723880173019,-119.673570996313,negative
36.5617731313059,-119.642481900197,negative
37.5757697228357,-119.86352517316,negative
36.9161175320974,-119.506330798892,positive
37.5363529415697,-119.733505030515,positive
36.4747995073458,-118.780996920364,neutral
34.565444659987,-118.784479195025,negative
37.7972447476754,-119.476162886527,positive
37.925622889579,-119.590785752233,neutral
35.0853415511617,-118.83903565677,neutral
36.1413749582519,-119.024411759426,negative
36.998088138817,-119.309840954341,negative
35.8349819374109,-119.513895499729,neutral
37.2291499560517,-119.748278206997,negative
35.0355860910357,-119.100179788034,negative
40.9161400481952,-119.526284274743,negative
31.9265760537977,-118.777331780836,positive
34.8538602565915,-120.342504800526,neutral
33.6588822157848,-119.310688222216,positive
36.1215028115068,-119.588074051624,negative
33.6770580299855,-118.759964682801,negative
34.4017896229252,-119.755695249539,positive
35.4507960136785,-118.372793257249,neutral
34.2967465228522,-118.66482071821,negative
35.268927284262,-119.251613191384,positive
35.8825097952402,-119.892962032045,negative
34.6032456951215,-120.527072594613,negative
36.4972278296043,-118.982091494837,positive
37.6297057454913,-119.238783243801,positive
34.3947736419039,-119.564884507334,negative
36.1518171649954,-119.958505926996,negative
38.4568076127458,-119.210734200242,neutral
36.8732505641358,-118.952411370807,positive
33.1501376545428,-119.462340314069,neutral
39.4184106849587,-119.285085336601,neutral
36.6068366006155,-120.099529353611,neutral
36.2934365884799,-120.014672009227,neutral
36.9530610457284,-118.526727105864,negative
39.387761395563,-120.605429294945,negative
36.145273700455,-118.930139458555,negative
32.029975124434,-119.534107439947,negative
32.2282350097558,-118.751451191107,negative
37.0371237410215,-118.791418205144,negative
39.8730289306645,-119.091569157897,negative
38.9308297119328,-118.587206213598,negative
35.206441928103,-119.695773573663,negative
37.4888024776702,-119.227883108941,neutral
37.1923747584975,-120.628375467436,negative
37.1753000550751,-119.318433293657,negative
37.8358094673135,-119.64241333115,neutral
39.2381384221017,-118.146108155849,neutral
37.1487560096246,-119.160761572279,neutral
39.0749098511435,-119.307844001176,neutral
35.2495141612778,-119.362528934642,negative
38.4806302643378,-118.500038760092,negative
32.9791427606616,-119.852309910669,neutral
33.5089835426135,-119.216196426754,positive
39.5985434521093,-118.762578683432,negative
36.0834132164021,-119.376307725751,negative
36.9793609306649,-118.40761808499,neutral
33.9415033702878,-119.240802299587,neutral
34.7055158519193,-119.635845392107,negative
37.7736620538648,-119.083263126484,negative
40.6080705410874,-119.855052966433,positive
34.3414467358134,-119.532889052847,positive
39.0451395508527,-119.571363522752,neutral
39.4637248853563,-120.064455927121,negative
34.7068155200063,-119.007628079928,negative
36.4176667984197,-119.042814773747,neutral
35.6755984693418,-119.067891465934,positive
35.7448715771074,-119.459953121147,neutral
40.1482278501431,-120.008444042382,negative
38.1697894231277,-119.713249217844,negative
41.1600569504399,-119.858616867743,positive
35.6709045723325,-120.674936272636,negative
38.450562540761,-118.784577738372,negative
35.3547469482098,-119.24170617964,negative
35.3889438549346,-119.386774503911,negative
38.888890341757,-118.719737149207,negative
34.1199436659079,-118.05013684875,positive
37.1927744583051,-119.751382630493,negative
35.0504760980225,-119.346265496082,positive
35.0291017946252,-119.619598491277,neutral
